instant,year,season,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Cluster
95,2094,1,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,2
96,2095,1,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,2
97,2096,1,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,2
98,2097,1,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,2
99,2098,1,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,2
100,2099,1,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,2
101,2100,1,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,2
102,2101,1,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,2
103,2102,1,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,2
104,2103,1,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,2
105,2104,1,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,2
106,2105,1,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,2
107,2106,1,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,2
108,2107,1,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,2
109,2108,1,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,2
110,2109,1,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,2
111,2110,1,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,2
112,2111,1,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,2
113,2112,1,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,2
114,2113,1,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,2
115,2114,1,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,2
116,2115,1,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,2
117,2116,1,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,2
118,2117,1,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,2
119,2118,1,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,2
120,2119,1,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,2
121,2120,1,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,2
122,2121,1,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,2
123,2122,1,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,2
124,2123,1,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,2
125,2124,1,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,2
126,2125,1,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,2
127,2126,1,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,2
128,2127,1,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,2
129,2128,1,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,2
130,2129,1,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,2
131,2130,1,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,2
132,2131,1,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,2
133,2132,1,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,2
134,2133,1,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,2
135,2134,1,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,2
136,2135,1,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,2
137,2136,1,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,2
138,2137,1,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,2
139,2138,1,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,2
140,2139,1,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,2
141,2140,1,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,2
142,2141,1,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,2
143,2142,1,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,2
144,2143,1,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,2
145,2144,1,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,2
146,2145,1,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,2
147,2146,1,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,2
148,2147,1,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,2
149,2148,1,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,2
150,2149,1,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,2
151,2150,1,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,2
152,2151,1,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,2
153,2152,1,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,2
154,2153,1,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,2
155,2154,1,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,2
156,2155,1,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,2
157,2156,1,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,2
158,2157,1,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,2
159,2158,1,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,2
160,2159,1,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,2
161,2160,1,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,2
162,2161,1,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,2
163,2162,1,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,2
164,2163,1,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,2
165,2164,1,1,56,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,2
166,2165,1,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,2
167,2166,1,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,2
168,2167,1,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,2
169,2168,1,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,2
170,2169,1,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,1
171,2170,1,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,1
172,2171,1,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,2
173,2172,1,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,2
174,2173,1,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,2
175,2174,1,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,2
176,2175,1,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,2
177,2176,1,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,2
178,2177,1,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,2
179,2178,1,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,2
180,2179,1,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,2
181,2180,1,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,2
182,2181,1,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,2
183,2182,1,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,2
184,2183,1,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,2
185,2184,1,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,2
186,2185,1,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,2
187,2186,1,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,2
188,2187,1,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,2
189,2188,1,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,2
190,2189,1,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,2
191,2190,1,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,2
192,2191,1,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,2
193,2192,1,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,2
194,2193,1,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,2
195,2194,1,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,2
196,2195,1,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,2
197,2196,1,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,2
198,2197,1,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,2
199,2198,1,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,2
200,2199,1,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,2
201,2200,1,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,2
202,2201,1,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,2
203,2202,1,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,2
204,2203,1,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,2
205,2204,1,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,2
206,2205,1,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,2
207,2206,1,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,2
208,2207,1,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,2
209,2208,1,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,2
210,2209,1,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,2
211,2210,1,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,2
212,2211,1,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,2
213,2212,1,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,2
214,2213,1,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,2
215,2214,1,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,2
216,2215,1,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,2
217,2216,1,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,2
218,2217,1,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,2
219,2218,1,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94,2
220,2219,1,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31,2
221,2220,1,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30,2
222,2221,1,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52,2
223,2222,1,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54,2
224,2223,1,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47,2
225,2224,1,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45,2
226,2225,1,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,2
227,2226,1,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,2
228,2227,1,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155,2
229,2228,1,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,2
230,2229,1,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,2
231,2230,1,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38,2
232,2231,1,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,2
233,2232,1,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18,2
234,2233,1,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12,2
235,2234,1,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3,2
236,2235,1,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3,2
237,2236,1,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6,2
238,2237,1,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27,2
239,2238,1,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,2,97,99,2
240,2239,1,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217,2
241,2240,1,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130,2
242,2241,1,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54,2
243,2242,1,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35,2
244,2243,1,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57,2
245,2244,1,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52,2
246,2245,1,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63,2
247,2246,1,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,47,2
248,2247,1,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76,1
249,2248,1,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136,1
250,2249,1,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95,1
251,2250,1,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,0,51,51,1
252,2251,1,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32,32,1
253,2252,1,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,20,1
254,2253,1,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28,29,1
255,2254,1,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,1,18,19,1
256,2255,1,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,0,7,7,1
257,2256,1,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6,6,1
258,2257,1,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1,1,1
259,2258,1,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5,5,1
260,2259,1,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16,16,1
261,2260,1,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54,54,2
262,2261,1,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125,128,2
263,2262,1,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78,81,2
264,2263,1,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39,39,2
265,2264,1,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,3,32,35,2
266,2265,1,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,3,52,55,2
267,2266,1,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,0,49,49,2
268,2267,1,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,0,44,44,2
269,2268,1,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,1,48,49,2
270,2269,1,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,5,63,68,2
271,2270,1,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,0,139,139,2
272,2271,1,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,2,135,137,2
273,2272,1,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,1,82,83,2
274,2273,1,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,2,54,56,2
275,2274,1,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,0,57,57,2
276,2275,1,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,1,32,33,2
277,2276,1,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,1,19,20,2
278,2277,1,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,1,6,7,2
279,2278,1,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,0,2,2,2
280,2279,1,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,0,2,2,2
281,2280,1,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,0,3,3,2
282,2281,1,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,0,4,4,2
283,2282,1,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,0,3,3,2
284,2283,1,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,0,28,28,2
285,2284,1,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,0,72,72,2
286,2285,1,1,8,0,4,1,1,0.14,0.1364,0.5,0.194,5,197,202,2
287,2286,1,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,2,137,139,2
288,2287,1,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,2,36,38,2
289,2288,1,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,4,33,37,2
290,2289,1,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,3,49,52,2
291,2290,1,1,13,0,4,1,1,0.22,0.197,0.41,0.4478,2,81,83,2
292,2291,1,1,14,0,4,1,1,0.22,0.197,0.41,0.3881,3,39,42,2
293,2292,1,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985,5,55,60,2
294,2293,1,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582,2,76,78,2
295,2294,1,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836,4,158,162,2
296,2295,1,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284,3,141,144,2
297,2296,1,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537,1,98,99,2
298,2297,1,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,0,64,64,2
299,2298,1,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985,0,40,40,2
300,2299,1,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284,0,30,30,2
301,2300,1,1,23,0,4,1,1,0.12,0.1364,0.5,0.194,1,14,15,2
302,2301,1,1,0,0,5,1,1,0.12,0.1364,0.5,0.194,0,14,14,2
303,2302,1,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642,0,5,5,2
304,2303,1,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343,0,1,1,2
305,2304,1,1,3,0,5,1,1,0.1,0.1364,0.54,0.1045,0,1,1,2
306,2305,1,1,5,0,5,1,1,0.1,0.1364,0.54,0.0896,0,8,8,2
307,2306,1,1,6,0,5,1,1,0.1,0.1818,0.54,0.0,0,17,17,2
308,2307,1,1,7,0,5,1,1,0.1,0.1212,0.74,0.1642,0,70,70,2
309,2308,1,1,8,0,5,1,1,0.12,0.1667,0.68,0.0,2,156,158,2
310,2309,1,1,9,0,5,1,1,0.14,0.1515,0.69,0.1343,0,117,117,2
